                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3549.1589  4.19812e-18  1.06511e-16  2.65699e-18     990   117.063  7.97101e+15  0     
   3551.2290 -2.22102e-19  1.04438e-16  2.57875e-18     991   117.065  8.00665e+15  0     
   3553.2993  3.98329e-18  1.02619e-16  2.59970e-18     992   117.067  8.03874e+15  0     
   3555.3701  4.79142e-18  1.01013e-16  2.58591e-18     993   117.070  8.06678e+15  0     
   3557.4414  2.27348e-18  9.88137e-17  2.52871e-18     994   117.072  8.09194e+15  0     
   3559.5132  2.90963e-18  9.39565e-17  2.47669e-18     995   117.074  8.11463e+15  0     
   3561.5852  4.53923e-18  9.48838e-17  2.50282e-18     996   117.077  8.13323e+15  0     
   3563.6577  2.51488e-18  9.24528e-17  2.44873e-18     997   117.079  8.15070e+15  0     
   3565.7305  4.95638e-18  8.64034e-17  2.40349e-18     998   117.081  8.16943e+15  0     
   3567.8037 -5.30777e-19  7.65135e-17  2.21223e-18     999   117.084  8.18629e+15  0     
   3569.8774  1.32155e-18  6.61525e-17  2.09845e-18    1000   117.086  8.20153e+15  0     
   3571.9514  3.11062e-18  6.17824e-17  2.06129e-18    1001   117.089  8.21654e+15  0     
   3574.0259  6.46645e-18  6.00550e-17  2.08113e-18    1002   117.091  8.23252e+15  0     
   3576.1006  5.06022e-18  6.03134e-17  2.06325e-18    1003   117.094  8.24874e+15  0     
   3578.1760 -7.35603e-19  6.26144e-17  2.01280e-18    1004   117.096  8.26563e+15  0     
   3580.2517  1.83550e-19  6.51897e-17  2.05792e-18    1005   117.099  8.28633e+15  0     
   3582.3276 -2.98796e-19  6.46804e-17  2.04096e-18    1006   117.101  8.31095e+15  0     
   3584.4041  2.09589e-18  5.72148e-17  1.96723e-18    1007   117.104  8.33532e+15  0     
   3586.4810  3.17558e-18  4.81621e-17  1.84773e-18    1008   117.106  8.36266e+15  0     
   3588.5581  4.73279e-18  4.15300e-17  1.76663e-18    1009   117.109  8.39018e+15  0     
   3590.6357  5.24435e-18  4.24761e-17  1.78546e-18    1010   117.111  8.42048e+15  0     
   3592.7139  1.16465e-18  4.44995e-17  1.74998e-18    1011   117.114  8.44925e+15  0     
